Time,traffic information,RP
20141128_03,79.90,91.00
20141128_04,79.20,89.20
20141128_05,77.80,89.90
20141128_06,77.00,87.70
20141128_07,75.80,88.00
20141128_08,75.50,87.40
20141128_09,76.20,86.90
20141128_10,76.80,86.80
20141128_11,76.50,87.60
20141128_12,77.30,88.30
20141128_13,76.90,85.40
20141128_14,76.70,85.60
20141128_15,76.00,84.90
20141128_16,75.10,83.80
20141128_17,74.50,82.40
20141128_18,73.70,81.50
20141128_19,75.20,85.10
20141128_20,76.40,87.50
20141128_21,77.60,87.60
20141128_22,77.70,89.00
20141128_23,78.60,89.70
20141129_00,78.80,90.00
20141129_01,79.90,89.80
20141129_02,80.20,89.20
20141129_03,80.40,88.20
20141129_04,79.70,87.80
20141129_05,78.20,89.30
20141129_06,77.20,90.40
20141129_07,77.10,89.70
20141129_08,76.50,87.20
20141129_09,76.10,85.20
20141129_10,76.00,85.20
20141129_11,76.00,83.60
20141129_12,75.90,85.20
20141129_13,75.10,84.20
20141129_14,75.50,84.30
20141129_15,75.30,83.80
20141129_16,75.00,82.60
20141129_17,74.60,82.30
20141129_18,75.90,85.70
20141129_19,76.70,87.00
20141129_20,77.60,88.50
20141129_21,77.60,88.60
20141129_22,78.40,89.80
20141129_23,78.50,89.10
20141130_00,78.20,89.90
20141130_01,79.80,89.20
20141130_02,80.10,89.10
20141130_03,80.00,89.80
20141130_04,79.40,89.00
20141130_05,78.20,89.00
20141130_06,77.70,89.00
20141130_07,77.30,90.40
20141130_08,76.60,90.20
20141130_09,77.00,89.10
20141130_10,76.90,88.30
20141130_11,77.30,89.30
20141130_12,76.70,88.30
20141130_13,76.80,87.70
20141130_14,76.30,85.10
20141130_15,76.90,86.80
20141130_16,76.50,86.50
20141130_17,76.80,87.50
20141130_18,77.30,88.80
20141130_19,77.90,89.70
20141130_20,77.60,89.80
20141130_21,77.80,90.40
20141130_22,77.50,90.40
20141130_23,77.30,90.90
